source,target,timestamp_ms
134,5126,1636422058000
145,134,1636422273000
146,134,1636422569000
131,5126,1636422780000
3863,131,1636422794000
147,131,1636422798000
3864,131,1636422798000
148,131,1636422806000
149,131,1636422809000
150,131,1636422814000
3865,131,1636422820000
151,131,1636422821000
152,131,1636422823000
153,131,1636422823000
152,131,1636422823000
154,131,1636422827000
0,5126,1636422830000
155,131,1636422830000
156,131,1636422830000
0,131,1636422830000
157,131,1636422832000
158,131,1636422833000
159,131,1636422835000
160,131,1636422835000
3866,131,1636422837000
161,131,1636422840000
162,131,1636422840000
164,131,1636422841000
163,131,1636422842000
165,131,1636422842000
166,131,1636422846000
167,131,1636422849000
167,131,1636422849000
168,131,1636422853000
169,131,1636422853000
170,131,1636422853000
171,131,1636422853000
173,131,1636422853000
172,131,1636422854000
174,131,1636422862000
3867,131,1636422863000
175,131,1636422866000
176,131,1636422869000
177,131,1636422871000
178,131,1636422871000
178,131,1636422871000
3868,131,1636422872000
179,131,1636422874000
180,131,1636422874000
164,131,1636422875000
3869,131,1636422876000
181,131,1636422878000
3870,131,1636422878000
182,131,1636422880000
183,131,1636422880000
184,131,1636422880000
185,131,1636422881000
186,131,1636422885000
169,131,1636422885000
187,131,1636422887000
3871,131,1636422887000
188,131,1636422889000
189,131,1636422890000
1,5126,1636422892000
1,131,1636422892000
190,131,1636422894000
3872,131,1636422894000
191,131,1636422898000
192,131,1636422899000
3873,131,1636422900000
193,131,1636422902000
194,131,1636422902000
194,131,1636422902000
195,131,1636422904000
196,131,1636422909000
3874,131,1636422912000
197,131,1636422913000
198,131,1636422918000
199,131,1636422919000
200,131,1636422920000
3875,131,1636422920000
3876,131,1636422921000
201,131,1636422925000
3877,131,1636422925000
202,131,1636422926000
202,131,1636422926000
203,131,1636422929000
204,131,1636422930000
205,131,1636422930000
206,131,1636422932000
2062,184,1636422936000
3878,131,1636422937000
196,131,1636422939000
3879,131,1636422943000
207,131,1636422945000
3876,131,1636422948000
207,131,1636422949000
3880,131,1636422950000
3881,131,1636422953000
3882,131,1636422953000
3883,131,1636422955000
208,131,1636422957000
209,131,1636422958000
196,131,1636422958000
132,5126,1636422960000
210,131,1636422963000
211,131,1636422967000
3884,131,1636422969000
212,131,1636422971000
213,131,1636422971000
214,131,1636422971000
212,131,1636422971000
215,131,1636422975000
3885,131,1636422975000
193,131,1636422975000
216,131,1636422977000
218,131,1636422977000
217,131,1636422978000
219,131,1636422978000
220,131,1636422981000
3886,131,1636422981000
220,131,1636422981000
221,131,1636422983000
3887,131,1636422988000
222,131,1636422993000
223,131,1636422996000
3888,132,1636422996000
3889,131,1636422997000
3890,131,1636423002000
224,131,1636423003000
225,131,1636423003000
2,5126,1636423008000
2,131,1636423008000
3,5126,1636423010000
3,131,1636423010000
4,5126,1636423011000
4,131,1636423011000
2063,188,1636423012000
226,131,1636423013000
227,131,1636423015000
228,131,1636423017000
228,131,1636423017000
229,131,1636423020000
2064,188,1636423020000
2065,166,1636423021000
230,131,1636423023000
3891,131,1636423027000
5,5126,1636423033000
231,131,1636423033000
5,131,1636423033000
3892,131,1636423037000
232,132,1636423040000
233,131,1636423040000
234,131,1636423047000
235,132,1636423047000
230,230,1636423047000
3893,131,1636423047000
236,0,1636423049000
237,132,1636423050000
3894,131,1636423060000
238,131,1636423061000
239,131,1636423062000
175,131,1636423066000
240,131,1636423068000
2066,166,1636423080000
3895,131,1636423081000
241,131,1636423084000
2067,235,1636423085000
242,131,1636423090000
3896,131,1636423090000
3897,131,1636423091000
243,131,1636423095000
243,131,1636423095000
3898,131,1636423096000
244,131,1636423097000
2068,235,1636423107000
3899,131,1636423120000
245,131,1636423121000
246,131,1636423122000
247,131,1636423126000
248,131,1636423130000
249,132,1636423130000
240,234,1636423135000
3900,131,1636423139000
3901,131,1636423148000
3902,132,1636423152000
3903,131,1636423161000
250,131,1636423167000
251,131,1636423172000
252,131,1636423174000
3904,131,1636423177000
253,131,1636423205000
253,131,1636423205000
254,131,1636423207000
255,131,1636423211000
256,131,1636423216000
257,131,1636423219000
3905,132,1636423219000
3906,131,1636423223000
258,131,1636423239000
259,131,1636423239000
3907,131,1636423239000
258,131,1636423239000
260,132,1636423243000
261,131,1636423246000
261,131,1636423246000
3908,131,1636423247000
3909,131,1636423248000
262,131,1636423251000
2069,213,1636423260000
3910,131,1636423263000
6,5126,1636423266000
6,131,1636423266000
6,131,1636423266000
264,131,1636423267000
263,131,1636423268000
265,131,1636423269000
3911,131,1636423285000
2070,213,1636423288000
3912,131,1636423288000
2071,217,1636423289000
266,132,1636423291000
260,131,1636423291000
2072,213,1636423291000
267,132,1636423297000
268,131,1636423304000
268,131,1636423304000
3913,131,1636423306000
3914,131,1636423307000
269,131,1636423309000
269,131,1636423309000
3915,132,1636423318000
3916,131,1636423323000
271,131,1636423333000
270,131,1636423334000
2073,234,1636423340000
2074,213,1636423341000
3917,131,1636423344000
272,131,1636423345000
2075,166,1636423345000
273,131,1636423353000
273,131,1636423353000
3918,132,1636423358000
3915,131,1636423373000
3918,131,1636423374000
3919,131,1636423382000
2076,263,1636423390000
3920,131,1636423390000
274,131,1636423394000
